觀光遊憩區別,門票收入,遊客人次,上年同月份遊客人次,增減數,成長率,備註
小人國企業股份有限公司,"9,703,408","35,267","30,867","4,400",14.25,門票
埔心牧場,"6,400,993","43,487","43,483",4,0.01,門票
小烏來風景特定區,0,"26,891","31,311",-4420,-14.12,電信數據人次推估
石門水庫,"1,933,149","266,279","259,500",6779,2.61,電信數據人次推估
慈湖,0,"186,186","133,539",52647,39.42,電信數據人次推估
角板山遊憩區,0,"75,068","79,807",-4739,-5.94,電信數據人次推估
虎頭山風景特定區,0,"265,065","239,018",26047,10.9,電信數據人次推估
竹圍漁港,0,"228,964","112,853",116111,102.89,電信數據人次推估
大溪老城區,0,"383,782","411,077",-27295,-6.64,電信數據人次推估
桃園市客家文化館,0,"24,806",26248,-1442,-5.49,人工估算
永安漁港,0,"137,844",95659,42185,44.1,電信數據人次推估
新屋綠色走廊,0,125456,-,--,--,電信數據人次推估
觀音蓮花園休閒農業區,0,128167,-,--,--,電信數據人次推估
