出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","1101","台灣水泥股份有限公司","水泥工業","4.32","新台幣                 10.0000元","114367247.00","31341817.00","4011489.00","27991393.00"
"1100421","109","4","1102","亞洲水泥股份有限公司","水泥工業","4.70","新台幣                 10.0000元","78240880.00","19670138.00","4473745.00","18773807.00"
"1100421","109","4","1103","嘉新水泥股份有限公司","水泥工業","2.74","新台幣                 10.0000元","2058417.00","822567.00","1283475.00","1837994.00"
"1100421","109","4","1104","環球水泥股份有限公司","水泥工業","1.91","新台幣                 10.0000元","5426217.00","493142.00","804372.00","1259795.00"
"1100421","109","4","1108","幸福水泥股份有限公司","水泥工業","0.97","新台幣                 10.0000元","4530172.00","447475.00","-3067.00","392269.00"
"1100421","109","4","1109","信大水泥股份有限公司","水泥工業","2.94","新台幣                 10.0000元","7593294.00","2102359.00","16072.00","1448873.00"
"1100421","109","4","1110","東南水泥股份有限公司","水泥工業","0.04","新台幣                 10.0000元","1590986.00","-30573.00","38003.00","16949.00"
"1100421","109","4","1201","味全食品工業股份有限公司","食品工業","1.06","新台幣                 10.0000元","18650871.00","595053.00","-52165.00","536142.00"
"1100421","109","4","1203","味王股份有限公司","食品工業","1.81","新台幣                 10.0000元","6043700.00","974911.00","-33621.00","693921.00"
"1100421","109","4","1210","大成長城企業股份有限公司","食品工業","3.99","新台幣                 10.0000元","81650892.00","4211948.00","771540.00","4072346.00"
"1100421","109","4","1213","大西洋飲料股份有限公司","食品工業","-0.48","新台幣                 10.0000元","409612.00","-52448.00","21887.00","-27252.00"
"1100421","109","4","1215","台灣卜蜂企業股份有限公司","食品工業","6.18","新台幣                 10.0000元","22189635.00","1898598.00","150601.00","1639876.00"
"1100421","109","4","1216","統一企業股份有限公司","食品工業","3.79","新台幣                 10.0000元","447319979.00","29783891.00","8654130.00","30800665.00"
"1100421","109","4","1217","愛之味股份有限公司","食品工業","0.47","新台幣                 10.0000元","4614486.00","216101.00","94209.00","249394.00"
"1100421","109","4","1218","泰山企業股份有限公司","食品工業","1.75","新台幣                 10.0000元","8356125.00","316542.00","589508.00","851541.00"
"1100421","109","4","1219","福壽實業股份有限公司","食品工業","1.91","新台幣                 10.0000元","12324165.00","331428.00","344301.00","565233.00"
"1100421","109","4","1220","台榮產業股份有限公司","食品工業","1.02","新台幣                 10.0000元","2775071.00","218349.00","18405.00","189740.00"
"1100421","109","4","1225","福懋油脂股份有限公司","食品工業","1.72","新台幣                 10.0000元","10213493.00","508157.00","55015.00","417787.00"
"1100421","109","4","1227","佳格食品股份有限公司","食品工業","3.54","新台幣                 10.0000元","34466244.00","4044179.00","244532.00","3255830.00"
