年月,上市家數,上市資本額_十億元,上市成長率,上市面值_十億元,上市市值_十億元,上櫃家數,上櫃資本額_十億元,上櫃成長率,上櫃面值_十億元,上櫃市值_十億元,未上市上櫃家數,未上市上櫃資本額_十億元,公告日期
202005,944.000000,7166.210000,0.080000,7116.220000,33289.670000,776.000000,746.620000,-0.180000,718.720000,3397.880000,673.000000,1452.780000,20210127
202004,943.000000,7160.370000,-0.210000,7105.980000,33428.350000,777.000000,748.000000,0.100000,719.630000,3183.630000,677.000000,1467.010000,20210127
202003,942.000000,7175.710000,0.310000,7102.690000,29516.730000,777.000000,747.240000,0.350000,719.770000,2722.300000,677.000000,1482.530000,20210127
202002,941.000000,7153.740000,-1.170000,7081.810000,34302.260000,774.000000,744.640000,0.060000,718.560000,3273.920000,680.000000,1484.400000,20210127
202001,941.000000,7153.980000,-0.020000,7082.370000,34903.350000,774.000000,744.160000,-0.330000,717.920000,3266.230000,682.000000,1485.570000,20210127
201912,942.000000,7155.640000,0.130000,7093.410000,36413.520000,775.000000,746.660000,-0.430000,720.620000,3433.530000,677.000000,1483.450000,20210127
201911,937.000000,7146.420000,-0.020000,7078.050000,34809.140000,775.000000,749.890000,0.150000,721.600000,3337.770000,679.000000,1452.500000,20210127
201910,936.000000,7147.710000,-0.020000,7081.470000,34388.590000,776.000000,748.770000,-0.440000,722.220000,3326.710000,681.000000,1459.790000,20210127
201909,936.000000,7149.140000,0.000000,7078.300000,32784.560000,775.000000,752.060000,-0.050000,723.680000,3223.940000,678.000000,1456.990000,20210127
201908,932.000000,7149.430000,0.590000,7051.180000,32117.200000,774.000000,752.470000,0.950000,718.390000,3192.470000,674.000000,1454.550000,20210127
201907,932.000000,7107.700000,0.120000,7038.020000,32706.460000,775.000000,745.410000,0.250000,715.650000,3252.970000,662.000000,1454.500000,20210127
201906,932.000000,7099.510000,-0.780000,7040.390000,32424.470000,776.000000,743.530000,0.480000,714.900000,3154.310000,668.000000,1456.060000,20210127
201905,933.000000,7095.750000,-0.840000,7036.740000,31717.050000,773.000000,739.960000,0.170000,712.420000,3060.970000,670.000000,1458.790000,20210127
201904,934.000000,7159.700000,0.060000,7081.690000,33106.560000,770.000000,738.740000,0.010000,710.800000,3208.310000,668.000000,1458.260000,20210127
201903,932.000000,7157.930000,0.030000,7081.170000,32126.560000,770.000000,738.700000,-0.110000,711.020000,3201.070000,662.000000,1437.000000,20210127
201902,929.000000,7158.820000,-0.010000,7081.640000,31286.260000,770.000000,739.530000,0.020000,712.700000,3158.400000,669.000000,1498.120000,20210127
201901,929.000000,7159.200000,0.000000,7081.440000,29919.880000,769.000000,739.390000,0.120000,712.480000,2984.860000,672.000000,1500.910000,20210127
201812,928.000000,7158.890000,0.000000,7077.850000,29318.450000,766.000000,738.500000,-0.570000,709.820000,2826.570000,672.000000,1509.400000,20210127
201811,923.000000,7154.770000,0.040000,7074.000000,29753.790000,764.000000,742.730000,-0.040000,712.390000,2909.360000,680.000000,1514.480000,20210127
201810,919.000000,7151.960000,-0.090000,7069.070000,29529.640000,765.000000,743.010000,-0.360000,712.530000,2607.550000,679.000000,1547.290000,20210127
201809,920.000000,7158.680000,0.000000,7062.460000,33057.520000,763.000000,745.720000,0.050000,714.220000,3059.400000,677.000000,1559.150000,20210127
201808,920.000000,7170.800000,0.170000,7039.420000,33241.120000,761.000000,745.360000,0.890000,707.030000,3281.310000,675.000000,1555.280000,20210127
201807,918.000000,7103.450000,-0.770000,7007.450000,33122.330000,760.000000,738.790000,0.570000,706.640000,3427.250000,664.000000,1552.830000,20210127
201806,917.000000,7089.600000,-0.970000,7011.180000,32436.950000,756.000000,734.610000,0.200000,703.650000,3479.390000,665.000000,1552.460000,20210127
201805,916.000000,7085.750000,0.090000,7008.020000,32527.570000,756.000000,733.120000,0.030000,703.300000,3523.130000,664.000000,1585.220000,20210127
201804,915.000000,7079.340000,-0.940000,7001.430000,31872.760000,756.000000,732.890000,0.690000,703.880000,3366.840000,660.000000,1584.110000,20210127
201803,914.000000,7146.760000,0.050000,7068.460000,32748.480000,752.000000,727.880000,0.150000,698.500000,3494.990000,656.000000,1582.310000,20210127
201802,913.000000,7143.270000,0.040000,7064.600000,32434.100000,750.000000,726.790000,0.350000,697.180000,3336.440000,659.000000,1585.470000,20210127
201801,910.000000,7140.160000,0.060000,7059.940000,33277.300000,750.000000,724.290000,0.270000,696.550000,3432.040000,658.000000,1584.870000,20210127
201712,907.000000,7136.190000,0.100000,7055.760000,31831.940000,744.000000,722.360000,0.130000,694.610000,3317.040000,658.000000,1604.920000,20210127
201711,904.000000,7129.090000,0.150000,7038.510000,31555.340000,742.000000,721.400000,0.060000,694.020000,3346.400000,655.000000,1602.570000,20210127
201710,904.000000,7118.070000,0.000000,7028.300000,32186.000000,740.000000,720.980000,-0.740000,693.970000,3229.110000,654.000000,1605.250000,20210127
201709,904.000000,7117.960000,0.250000,7017.990000,30942.540000,743.000000,726.350000,-0.190000,698.270000,3132.410000,656.000000,1608.950000,20210127
201708,901.000000,7100.440000,0.360000,6980.460000,31473.500000,740.000000,727.730000,0.050000,697.580000,3115.530000,660.000000,1607.800000,20210127
201707,900.000000,7075.250000,0.090000,6992.920000,30951.440000,742.000000,727.380000,0.320000,699.650000,3098.410000,644.000000,1607.420000,20210127
201706,900.000000,7068.940000,0.090000,6989.350000,30841.180000,742.000000,725.070000,0.390000,699.540000,3018.360000,647.000000,1613.970000,20210127
201705,898.000000,7062.800000,0.130000,6979.080000,29767.770000,740.000000,722.240000,0.250000,697.880000,2988.070000,649.000000,1615.890000,20210127
201704,896.000000,7053.740000,0.120000,6959.460000,29246.060000,740.000000,720.450000,0.350000,696.550000,2929.230000,648.000000,1618.410000,20210127
201703,896.000000,7045.000000,0.140000,6957.570000,29057.520000,734.000000,717.970000,0.190000,693.330000,2951.800000,647.000000,1616.820000,20210127
