,年別,稅別,年底使用家數_家,全年使用張數_張,全年銷售額_千元,每一張平均銷售額_千元,label
0,76,合計,126542,255823373,2948865918,11.52696050958565,0.0
1,76,一般稅額,126094,255440207,2763206675,10.817430456435545,0.0
2,76,特種稅額,448,383166,185659243,484.53997223135667,0.0
3,77,合計,136210,312029282,3057901142,9.800045439325146,0.0
4,77,一般稅額,135726,311768265,2847566075,9.133598235214864,0.0
5,77,特種稅額,484,261017,210335067,805.8289958125333,0.0
6,78,合計,144472,421235811,3905437823,9.27138130475806,0.0
7,78,一般稅額,143943,421063483,3433433286,8.15419390334545,0.0
8,78,特種稅額,529,172328,472004537,2738.9892356436562,0.0
9,79,合計,145568,514520226,4186592394,8.13688594236138,0.0
10,79,一般稅額,144984,514381759,3738548250,7.268042041902968,0.0
11,79,特種稅額,584,138467,448044144,3235.746741100768,0.0
12,80,合計,152520,329452014,4626946640,14.044371997677331,0.0
13,80,一般稅額,151885,328492996,4192951769,12.764204473327645,0.0
14,80,特種稅額,635,959018,433994871,452.5409022562663,0.0
15,81,合計,154145,241812262,5197375232,21.49343126363046,0.0
16,81,一般稅額,153418,241661941,4641585962,19.206938183120858,0.0
17,81,特種稅額,727,150321,555789270,3697.3494721296424,0.0
18,82,合計,155091,820651465,5469808015,6.665202279264803,0.0
19,82,一般稅額,154323,819687100,5012193505,6.114764408272376,0.0
20,82,特種稅額,768,964365,457614510,474.52417912304986,0.0
21,83,合計,157278,818480122,6073163249,7.420049779779502,0.0
22,83,一般稅額,156412,818154940,5532213484,6.761816391403809,0.0
23,83,特種稅額,866,325182,540949765,1663.5292390107693,0.0
24,84,合計,150802,599739387,6734507100,11.229055896573957,1.0
25,84,一般稅額,149845,599319274,6135437799,10.237344375812615,0.0
26,84,特種稅額,957,420113,599069301,1425.971824247286,0.0
27,85,合計,152191,292715956,7021582892,23.987701210247657,1.0
28,85,一般稅額,151042,292050045,6340859922,21.71155262790663,0.0
29,85,特種稅額,1149,665911,680722970,1022.2431676305092,0.0
30,86,合計,158716,317243658,7607369906,23.979580723407242,1.0
31,86,一般稅額,157282,316104762,6830205204,21.60741002693278,1.0
32,86,特種稅額,1434,1138896,777164702,682.3842580885348,0.0
33,87,合計,162392,236316111,8257568749,34.942893711550624,1.0
34,87,一般稅額,160790,235352602,7353502273,31.24461854473145,1.0
35,87,特種稅額,1602,963509,904066476,938.3062078299216,0.0
36,88,合計,165783,404695007,8548876242,21.124244416487205,1.0
37,88,一般稅額,164030,332358278,7633423620,22.9674544769425,1.0
38,88,特種稅額,1753,72336729,915452622,12.655432926750116,0.0
39,89,合計,166066,394689057,9647615877,24.443585921359862,1.0
40,89,一般稅額,164209,393579784,8621828778,21.906177930114417,1.0
41,89,特種稅額,1857,1109273,1025787099,924.7381834769259,0.0
42,90,合計,163437,312580120,9853286924,31.522436308489485,1.0
43,90,一般稅額,161586,311553860,8833459977,28.352914571496562,1.0
44,90,特種稅額,1851,1026260,1019826947,993.7315563307544,0.0
45,91,合計,161982,308876250,9737375214,31.525166515716247,1.0
46,91,一般稅額,160122,308022360,8836645019,28.688323208094374,1.0
47,91,特種稅額,1860,853890,900730195,1054.8550691541066,0.0
